Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB152,Ononis viscosa,Morocco,Fabaceae,RB152_Ononis viscosa_Morocco_Fabaceae,*
RB432,Ononis hesperia,Canary Islands,Fabaceae,RB432_Ononis hesperia_Canary Islands_Fabaceae,
RB154,Ononis hesperia,Morocco,Fabaceae,RB154_Ononis hesperia_Morocco_Fabaceae,
RB170,Ononis natrix,Spain,Fabaceae,RB170_Ononis natrix_Spain_Fabaceae,
RB825,Ononis viscosa,Spain,Fabaceae,RB825_Ononis viscosa_Spain_Fabaceae,*
RB430,Ononis natrix,Canary Islands,Fabaceae,RB430_Ononis natrix_Canary Islands_Fabaceae,
ODN107,Ononis angustissima,Canary Islands,Fabaceae,ODN107_Ononis angustissima_Canary Islands_Fabaceae,
RB840,Ononis sicula,Spain,Fabaceae,RB840_Ononis sicula_Spain_Fabaceae,
RB171,Ononis sicula,Spain,Fabaceae,RB171_Ononis sicula_Spain_Fabaceae,
ODN104,Ononis hebecarpa,Canary Islands,Fabaceae,ODN104_Ononis hebecarpa_Canary Islands_Fabaceae,
RB1010,Ononis catalinae,Canary Islands,Fabaceae,RB1010_Ononis catalinae_Canary Islands_Fabaceae,
RB159,Cicer cuneatum,Ethiopia,Fabaceae,RB159_Cicer cuneatum_Ethiopia_Fabaceae,
ODN25,Cicer canariense,Canary Islands,Fabaceae,ODN25_Cicer canariense_Canary Islands_Fabaceae,
RB161,Biserrula pelecinus,Morocco,Fabaceae,RB161_Biserrula pelecinus_Morocco_Fabaceae,
ODN42,Biserrula pelecinus,Canary Islands,Fabaceae,ODN42_Biserrula pelecinus_Canary Islands_Fabaceae,
RB789,Biserrula pelecinus,Portugal,Fabaceae,RB789_Biserrula pelecinus_Portugal_Fabaceae,
RB820,Lotus corniculatus,Italy,Fabaceae,RB820_Lotus corniculatus_Italy_Fabaceae,
RB141,Lotus corniculatus,Spain,Fabaceae,RB141_Lotus corniculatus_Spain_Fabaceae,
ODN98,Lotus corniculatus,Canary Islands,Fabaceae,ODN98_Lotus corniculatus_Canary Islands_Fabaceae,
RB411,Lotus parviflorus,Canary Islands,Fabaceae,RB411_Lotus parviflorus_Canary Islands_Fabaceae,
RB140,Lotus parviflorus,France,Fabaceae,RB140_Lotus parviflorus_France_Fabaceae,
RB819,Lotus parviflorus,Spain,Fabaceae,RB819_Lotus parviflorus_Spain_Fabaceae,
RB413,Lotus lancerottensis,Canary Islands,Fabaceae,RB413_Lotus lancerottensis_Canary Islands_Fabaceae,
RB417,Lotus callis-viridis,Canary Islands,Fabaceae,RB417_Lotus callis-viridis_Canary Islands_Fabaceae,
RB415,Lotus dumetorum,Canary Islands,Fabaceae,RB415_Lotus dumetorum_Canary Islands_Fabaceae,
RB416,Lotus campylocladus,Canary Islands,Fabaceae,RB416_Lotus campylocladus_Canary Islands_Fabaceae,
ODN96,Lotus glaucus,Canary Islands,Fabaceae,ODN96_Lotus glaucus_Canary Islands_Fabaceae,
ODN95,Lotus holosericeus,Canary Islands,Fabaceae,ODN95_Lotus holosericeus_Canary Islands_Fabaceae,
RB998,Lotus kunkelii,Canary Islands,Fabaceae,RB998_Lotus kunkelii_Canary Islands_Fabaceae,
ODN94,Lotus mascaensis,Canary Islands,Fabaceae,ODN94_Lotus mascaensis_Canary Islands_Fabaceae,
RB414,Lotus eremiticus,Canary Islands,Fabaceae,RB414_Lotus eremiticus_Canary Islands_Fabaceae,
RB410,Lotus pyranthus,Canary Islands,Fabaceae,RB410_Lotus pyranthus_Canary Islands_Fabaceae,
RB412,Lotus maculatus,Canary Islands,Fabaceae,RB412_Lotus maculatus_Canary Islands_Fabaceae,
RB419,Lotus berthelotii,Canary Islands,Fabaceae,RB419_Lotus berthelotii_Canary Islands_Fabaceae,
ODN97,Lotus emeroides,Canary Islands,Fabaceae,ODN97_Lotus emeroides_Canary Islands_Fabaceae,
RB408,Lotus sessilifolius,Canary Islands,Fabaceae,RB408_Lotus sessilifolius_Canary Islands_Fabaceae,
RB409,Lotus tenellus,Canary Islands,Fabaceae,RB409_Lotus tenellus_Canary Islands_Fabaceae,
K25,Lotus weilleri,Morocco,Fabaceae,K25_Lotus weilleri_Morocco_Fabaceae,
RB157,Lotus gebelia,Turkey,Fabaceae,RB157_Lotus gebelia_Turkey_Fabaceae,
RB418,Lotus broussonetii,Canary Islands,Fabaceae,RB418_Lotus broussonetii_Canary Islands_Fabaceae,
ODN91,Lotus eriophthalmus,Canary Islands,Fabaceae,ODN91_Lotus eriophthalmus_Canary Islands_Fabaceae,
ODN92,Lotus spectabilis,Canary Islands,Fabaceae,ODN92_Lotus spectabilis_Canary Islands_Fabaceae,
RB151,Ornithopus compressus,Morocco,Fabaceae,RB151_Ornithopus compressus_Morocco_Fabaceae,
RB427,Ornithopus compressus,Canary Islands,Fabaceae,RB427_Ornithopus compressus_Canary Islands_Fabaceae,
RB812,Ornithopus compressus,Spain,Fabaceae,RB812_Ornithopus compressus_Spain_Fabaceae,
RB761,Coronilla viminalis,Morocco,Fabaceae,RB761_Coronilla viminalis_Morocco_Fabaceae,
RB146,Coronilla viminalis,Morocco,Fabaceae,RB146_Coronilla viminalis_Morocco_Fabaceae,
ODN62,Coronilla viminalis,Canary Islands,Fabaceae,ODN62_Coronilla viminalis_Canary Islands_Fabaceae,
RB158,Hippocrepis salzmannii,Morocco,Fabaceae,RB158_Hippocrepis salzmannii_Morocco_Fabaceae,
RB821,Hippocrepis salzmannii,Spain,Fabaceae,RB821_Hippocrepis salzmannii_Spain_Fabaceae,
RB830,Hippocrepis multisiliquosa,Morocco,Fabaceae,RB830_Hippocrepis multisiliquosa_Morocco_Fabaceae,
RB144,Hippocrepis multisiliquosa,Spain,Fabaceae,RB144_Hippocrepis multisiliquosa_Spain_Fabaceae,
RB420,Hippocrepis multisiliquosa,Canary Islands,Fabaceae,RB420_Hippocrepis multisiliquosa_Canary Islands_Fabaceae,
RB571,Hippocrepis salzmannii,Canary Islands,Fabaceae,RB571_Hippocrepis salzmannii_Canary Islands_Fabaceae,
RB421,Hippocrepis constricta,Canary Islands,Fabaceae,RB421_Hippocrepis constricta_Canary Islands_Fabaceae,
RB831,Hippocrepis constricta,Saudi Arabia,Fabaceae,RB831_Hippocrepis constricta_Saudi Arabia_Fabaceae,
RB143,Hippocrepis constricta,Saudi Arabia,Fabaceae,RB143_Hippocrepis constricta_Saudi Arabia_Fabaceae,
RB762,Bituminaria bituminosa,Spain,Fabaceae,RB762_Bituminaria bituminosa_Spain_Fabaceae,
RB160,Bituminaria bituminosa,Morocco,Fabaceae,RB160_Bituminaria bituminosa_Morocco_Fabaceae,
ODN41,Bituminaria bituminosa,Canary Islands,Fabaceae,ODN41_Bituminaria bituminosa_Canary Islands_Fabaceae,
RB150,Retama monosperma,Morocco,Fabaceae,RB150_Retama monosperma_Morocco_Fabaceae,
RB811,Retama monosperma,Portugal,Fabaceae,RB811_Retama monosperma_Portugal_Fabaceae,
ODN101,Retama rhodorhizoides,Canary Islands,Fabaceae,ODN101_Retama rhodorhizoides_Canary Islands_Fabaceae,
RB570,Retama monosperma,Canary Islands,Fabaceae,RB570_Retama monosperma_Canary Islands_Fabaceae,
E01153446,Genista versicolor,Spain,Fabaceae,E01153446_Genista versicolor_Spain_Fabaceae,
RB139,Genista obtusiramea,Portugal,Fabaceae,RB139_Genista obtusiramea_Portugal_Fabaceae,
ODN45,Genista benehoavensis,Canary Islands,Fabaceae,ODN45_Genista benehoavensis_Canary Islands_Fabaceae,
ODN121,Teline microphylla,Canary Islands,Fabaceae,ODN121_Teline microphylla_Canary Islands_Fabaceae,
RB426,Teline canariensis,Canary Islands,Fabaceae,RB426_Teline canariensis_Canary Islands_Fabaceae,
RB810,Genista monspessulana,Portugal,Fabaceae,RB810_Genista monspessulana_Portugal_Fabaceae,
RB438,Teline rosmarinifolia,Canary Islands,Fabaceae,RB438_Teline rosmarinifolia_Canary Islands_Fabaceae,
RB842,Genista segonnei,Morocco,Fabaceae,RB842_Genista segonnei_Morocco_Fabaceae,
RB424,Teline pallida,Canary Islands,Fabaceae,RB424_Teline pallida_Canary Islands_Fabaceae,
RB132,Genista linifolia,Spain,Fabaceae,RB132_Genista linifolia_Spain_Fabaceae,
RB331,Cytisus supranubius,Canary Islands,Fabaceae,RB331_Cytisus supranubius_Canary Islands_Fabaceae,
RB590,Cytisus filipes,Canary Islands,Fabaceae,RB590_Cytisus filipes_Canary Islands_Fabaceae,
RB780,Cytisus balanceae,Morocco,Fabaceae,RB780_Cytisus balanceae_Morocco_Fabaceae,
RB145,Cytisus decumbens,Spain,Fabaceae,RB145_Cytisus decumbens_Spain_Fabaceae,
ODN157,Chamaecytisus mollis,Canary Islands,Fabaceae,ODN157_Chamaecytisus mollis_Canary Islands_Fabaceae,
RB599,Chamaecytisus mollis,Morocco,Fabaceae,RB599_Chamaecytisus mollis_Morocco_Fabaceae,
RB781,Chamaecytisus mollis,Morocco,Fabaceae,RB781_Chamaecytisus mollis_Morocco_Fabaceae,
ODN28,Chamaecytisus prolifer,Canary Islands,Fabaceae,ODN28_Chamaecytisus prolifer_Canary Islands_Fabaceae,
RB299,Adenocarpus foliolosus,Canary Islands,Fabaceae,RB299_Adenocarpus foliolosus_Canary Islands_Fabaceae,
RB300,Adenocarpus ombriosus,Canary Islands,Fabaceae,RB300_Adenocarpus ombriosus_Canary Islands_Fabaceae,
ODN20,Adenocarpus viscosus,Canary Islands,Fabaceae,ODN20_Adenocarpus viscosus_Canary Islands_Fabaceae,
RB173,Adenocarpus complicatus,Spain,Fabaceae,RB173_Adenocarpus complicatus_Spain_Fabaceae,
RB435,Teline osyrioides,Canary Islands,Fabaceae,RB435_Teline osyrioides_Canary Islands_Fabaceae,*
RB162,Argyrolobium arabicum,Ethiopia,Fabaceae,RB162_Argyrolobium arabicum_Ethiopia_Fabaceae,
ODN166,Argyrolobium armindae,Canary Islands,Fabaceae,ODN166_Argyrolobium armindae_Canary Islands_Fabaceae,
RB782,Argyrolobium microphyllum,Morocco,Fabaceae,RB782_Argyrolobium microphyllum_Morocco_Fabaceae,
RB828,Lotus glinoides,Egypt,Fabaceae,RB828_Lotus glinoides_Egypt_Fabaceae,
RB147,Anagyris foetida,Spain,Fabaceae,RB147_Anagyris foetida_Spain_Fabaceae,
ODN4,Anagyris latifolia,Canary Islands,Fabaceae,ODN4_Anagyris latifolia_Canary Islands_Fabaceae,
RB783,Anagyris foetida,Morocco,Fabaceae,RB783_Anagyris foetida_Morocco_Fabaceae,
ODN59,Cuscuta planiflora,Canary Islands,Cuscutaceae,ODN59_Cuscuta planiflora_Canary Islands_Cuscutaceae,*
RB178,Myrica faya,Portugal,Myricaceae,RB178_Myrica faya_Portugal_Myricaceae,
RB321,Bryonia verrucosa,Canary Islands,Cucurbitaceae,RB321_Bryonia verrucosa_Canary Islands_Cucurbitaceae,
RB103,Bryonia cretica,Tunisia,Cucurbitaceae,RB103_Bryonia cretica_Tunisia_Cucurbitaceae,
RB769,Bryonia cretica,Morocco,Cucurbitaceae,RB769_Bryonia cretica_Morocco_Cucurbitaceae,
RB768,Citrullus colocynthis,Ethiopia,Cucurbitaceae,RB768_Citrullus colocynthis_Ethiopia_Cucurbitaceae,
ODN21,Citrullus colocynthis,Canary Islands,Cucurbitaceae,ODN21_Citrullus colocynthis_Canary Islands_Cucurbitaceae,
RB9-2,Rhus coriaria,France,Anacardiaceae,RB9-2_Rhus coriaria_France_Anacardiaceae,*
RB627,Urtica stachyoides,Canary Islands,Urticaceae,RB627_Urtica stachyoides_Canary Islands_Urticaceae,
RB626,Urtica urens,Canary Islands,Urticaceae,RB626_Urtica urens_Canary Islands_Urticaceae,
RB505,Urtica membranacea,Canary Islands,Urticaceae,RB505_Urtica membranacea_Canary Islands_Urticaceae,
RB915,Urtica membranacea,Spain,Urticaceae,RB915_Urtica membranacea_Spain_Urticaceae,
RB555,Urtica membranacea,Portugal,Urticaceae,RB555_Urtica membranacea_Portugal_Urticaceae,
RB997,Urtica morifolia,Canary Islands,Urticaceae,RB997_Urtica morifolia_Canary Islands_Urticaceae,
P06820056,Urtica fragilis,Syria,Urticaceae,P06820056_Urtica fragilis_Syria_Urticaceae,
RB916,Parietaria mauritanica,Morocco,Urticaceae,RB916_Parietaria mauritanica_Morocco_Urticaceae,
P06816933,Parietaria mauritanica,Canary Islands,Urticaceae,P06816933_Parietaria mauritanica_Canary Islands_Urticaceae,
RB542,Parietaria mauritanica,Spain,Urticaceae,RB542_Parietaria mauritanica_Spain_Urticaceae,
RB622,Parietaria filamentosa,Canary Islands,Urticaceae,RB622_Parietaria filamentosa_Canary Islands_Urticaceae,
RB628,Parietaria debilis,Canary Islands,Urticaceae,RB628_Parietaria debilis_Canary Islands_Urticaceae,
RB917,Parietaria debilis,Ethiopia,Urticaceae,RB917_Parietaria debilis_Ethiopia_Urticaceae,
RB549,Parietaria debilis,Ethiopia,Urticaceae,RB549_Parietaria debilis_Ethiopia_Urticaceae,
P06855863,Urtica fragilis,Lebanon,Urticaceae,P06855863_Urtica fragilis_Lebanon_Urticaceae,*
RB908,Parietaria judaica,Spain,Urticaceae,RB908_Parietaria judaica_Spain_Urticaceae,
RB543,Parietaria judaica,France,Urticaceae,RB543_Parietaria judaica_France_Urticaceae,
RB909,Parietaria officinalis,France,Urticaceae,RB909_Parietaria officinalis_France_Urticaceae,
RB544,Parietaria cretica,Greece,Urticaceae,RB544_Parietaria cretica_Greece_Urticaceae,
RB288,Forsskaolea angustifolia,Canary Islands,Urticaceae,RB288_Forsskaolea angustifolia_Canary Islands_Urticaceae,
RB260,Agrimonia eupatoria,France,Rosaceae,RB260_Agrimonia eupatoria_France_Rosaceae,
RB913,Agrimonia eupatoria,Spain,Rosaceae,RB913_Agrimonia eupatoria_Spain_Rosaceae,
RB912,Alchemilla microcarpa,Luxembourg,Rosaceae,RB912_Alchemilla microcarpa_Luxembourg_Rosaceae,
RB279,Alchemilla microcarpa,Canary Islands,Rosaceae,RB279_Alchemilla microcarpa_Canary Islands_Rosaceae,
RB246,Rosa canina,Spain,Rosaceae,RB246_Rosa canina_Spain_Rosaceae,
RB940,Prunus lusitanica,Morocco,Rosaceae,RB940_Prunus lusitanica_Morocco_Rosaceae,
RB991,Marcetella moquiniana,Canary Islands,Rosaceae,RB991_Marcetella moquiniana_Canary Islands_Rosaceae,
RB952,Aria edulis,Morocco,Rosaceae,RB952_Aria edulis_Morocco_Rosaceae,
RB102,Citrullus colocynthis,Ethiopia,Cucurbitaceae,RB102_Citrullus colocynthis_Ethiopia_Cucurbitaceae,*
ODN13,Agrimonia eupatoria,Canary Islands,Rosaceae,ODN13_Agrimonia eupatoria_Canary Islands_Rosaceae,*
RB268,Theligonum cynocrambe,Portugal,Rubiaceae,RB268_Theligonum cynocrambe_Portugal_Rubiaceae,*
K10,Viola palmensis,Canary Islands,Violaceae,K10_Viola palmensis_Canary Islands_Violaceae,*
RB164,Euphorbia serrata,Spain,Euphorbiaceae,RB164_Euphorbia serrata_Spain_Euphorbiaceae,
RB343,Euphorbia serrata,Canary Islands,Euphorbiaceae,RB343_Euphorbia serrata_Canary Islands_Euphorbiaceae,
RB190,Linum trigynum,Portugal,Linaceae,RB190_Linum trigynum_Portugal_Linaceae,*
RB128,Euphorbia platyphyllos,Spain,Euphorbiaceae,RB128_Euphorbia platyphyllos_Spain_Euphorbiaceae,
RB344,Euphorbia segetalis,Canary Islands,Euphorbiaceae,RB344_Euphorbia segetalis_Canary Islands_Euphorbiaceae,
RB757,Euphorbia dracunculoides,Algeria,Euphorbiaceae,RB757_Euphorbia dracunculoides_Algeria_Euphorbiaceae,
RB163,Euphorbia terracina,Morocco,Euphorbiaceae,RB163_Euphorbia terracina_Morocco_Euphorbiaceae,
RB534,Euphorbia bravoana,Canary Islands,Euphorbiaceae,RB534_Euphorbia bravoana_Canary Islands_Euphorbiaceae,
RB357,Euphorbia atropurpurea,Canary Islands,Euphorbiaceae,RB357_Euphorbia atropurpurea_Canary Islands_Euphorbiaceae,
RB349,Euphorbia lamarckii,Canary Islands,Euphorbiaceae,RB349_Euphorbia lamarckii_Canary Islands_Euphorbiaceae,
RB101,Euphorbia usambarica,Tanzania,Euphorbiaceae,RB101_Euphorbia usambarica_Tanzania_Euphorbiaceae,
RB751,Euphorbia sulcata,Spain,Euphorbiaceae,RB751_Euphorbia sulcata_Spain_Euphorbiaceae,
RB127,Euphorbia sulcata,Spain,Euphorbiaceae,RB127_Euphorbia sulcata_Spain_Euphorbiaceae,
RB568,Euphorbia sulcata,Canary Islands,Euphorbiaceae,RB568_Euphorbia sulcata_Canary Islands_Euphorbiaceae,
RB347,Euphorbia paralias,Canary Islands,Euphorbiaceae,RB347_Euphorbia paralias_Canary Islands_Euphorbiaceae,
RB754,Euphorbia platyphyllos,France,Euphorbiaceae,RB754_Euphorbia platyphyllos_France_Euphorbiaceae,
RB790,Euphorbia palustris,Spain,Euphorbiaceae,RB790_Euphorbia palustris_Spain_Euphorbiaceae,
RB348,Euphorbia mellifera,Canary Islands,Euphorbiaceae,RB348_Euphorbia mellifera_Canary Islands_Euphorbiaceae,
RB165,Euphorbia helioscopia,Spain,Euphorbiaceae,RB165_Euphorbia helioscopia_Spain_Euphorbiaceae,
RB350,Euphorbia helioscopia,Canary Islands,Euphorbiaceae,RB350_Euphorbia helioscopia_Canary Islands_Euphorbiaceae,
K8,Euphorbia sepium,Senegal,Euphorbiaceae,K8_Euphorbia sepium_Senegal_Euphorbiaceae,
RB353,Euphorbia canariensis,Canary Islands,Euphorbiaceae,RB353_Euphorbia canariensis_Canary Islands_Euphorbiaceae,
RB535,Euphorbia handiensis,Canary Islands,Euphorbiaceae,RB535_Euphorbia handiensis_Canary Islands_Euphorbiaceae,
RB765,Euphorbia chamaesyce,Spain,Euphorbiaceae,RB765_Euphorbia chamaesyce_Spain_Euphorbiaceae,
RB131,Euphorbia granulata,Ethiopia,Euphorbiaceae,RB131_Euphorbia granulata_Ethiopia_Euphorbiaceae,
RB98,Euphorbia chamaesyce,Italy,Euphorbiaceae,RB98_Euphorbia chamaesyce_Italy_Euphorbiaceae,
RB625,Viola anagae,Canary Islands,Violaceae,RB625_Viola anagae_Canary Islands_Violaceae,*
RB784,Mercurialis huetii,France,Euphorbiaceae,RB784_Mercurialis huetii_France_Euphorbiaceae,
ODN114,Mercurialis canariensis,Canary Islands,Euphorbiaceae,ODN114_Mercurialis canariensis_Canary Islands_Euphorbiaceae,
RB550,Didymodoxa caffra,South Africa,Urticaceae,RB550_Didymodoxa caffra_South Africa_Urticaceae,*
RB547,Viola calcarata,France,Violaceae,RB547_Viola calcarata_France_Violaceae,
RB914,Viola lutea,France,Violaceae,RB914_Viola lutea_France_Violaceae,
RB992,Viola cheiranthifolia,Canary Islands,Violaceae,RB992_Viola cheiranthifolia_Canary Islands_Violaceae,
RB546,Viola kitaibeliana,Portugal,Violaceae,RB546_Viola kitaibeliana_Portugal_Violaceae,
RB932,Viola arvensis,Portugal,Violaceae,RB932_Viola arvensis_Portugal_Violaceae,
RB548,Viola arvensis,Spain,Violaceae,RB548_Viola arvensis_Spain_Violaceae,
RB907,Viola odorata,Spain,Violaceae,RB907_Viola odorata_Spain_Violaceae,
RB637,Viola odorata,Canary Islands,Violaceae,RB637_Viola odorata_Canary Islands_Violaceae,
RB906,Viola riviniana,Spain,Violaceae,RB906_Viola riviniana_Spain_Violaceae,
RB554,Viola riviniana,Portugal,Violaceae,RB554_Viola riviniana_Portugal_Violaceae,
RB999,Viola riviniana,Canary Islands,Violaceae,RB999_Viola riviniana_Canary Islands_Violaceae,
RB910,Salix pedicellata,Portugal,Salicaceae,RB910_Salix pedicellata_Portugal_Salicaceae,
RB243,Salix pedicellata,Spain,Salicaceae,RB243_Salix pedicellata_Spain_Salicaceae,
RB867,Linum strictum,Morocco,Linaceae,RB867_Linum strictum_Morocco_Linaceae,*
RB882,Hypericum perforatum,Portugal,Hypericaceae,RB882_Hypericum perforatum_Portugal_Hypericaceae,
RB229,Hypericum perforatum,Morocco,Hypericaceae,RB229_Hypericum perforatum_Morocco_Hypericaceae,
RB892,Hypericum caprifolium,Spain,Hypericaceae,RB892_Hypericum caprifolium_Spain_Hypericaceae,
RB214,Hypericum perfoliatum,Morocco,Hypericaceae,RB214_Hypericum perfoliatum_Morocco_Hypericaceae,
K46,Hypericum pamphylicum,Turkey,Hypericaceae,K46_Hypericum pamphylicum_Turkey_Hypericaceae,
ODN133,Hypericum grandifolium,Canary Islands,Hypericaceae,ODN133_Hypericum grandifolium_Canary Islands_Hypericaceae,
RB205,Hypericum hircinum,Morocco,Hypericaceae,RB205_Hypericum hircinum_Morocco_Hypericaceae,
ODN130,Linum strictum,Canary Islands,Linaceae,ODN130_Linum strictum_Canary Islands_Linaceae,
RB211,Linum strictum,Spain,Linaceae,RB211_Linum strictum_Spain_Linaceae,
RB672,Pistacia atlantica,Morocco,Anacardiaceae,RB672_Pistacia atlantica_Morocco_Anacardiaceae,
RB672-2,#N/A,#N/A,#N/A,RB672-2_Pistacia atlantica_Morocco_Anacardiaceae,
RB2-2,#N/A,#N/A,#N/A,RB2-2_Pistacia atlantica_Libya_Anacardiaceae,
RB2,Pistacia atlantica,Libya,Anacardiaceae,RB2_Pistacia atlantica_Libya_Anacardiaceae,
RB467,Pistacia atlantica,Canary Islands,Anacardiaceae,RB467_Pistacia atlantica_Canary Islands_Anacardiaceae,
RB467-2,#N/A,#N/A,#N/A,RB467-2_Pistacia atlantica_Canary Islands_Anacardiaceae,
RB21-2,#N/A,#N/A,#N/A,RB21-2_Pistacia lentiscus_Morocco_Anacardiaceae,
RB21,Pistacia lentiscus,Morocco,Anacardiaceae,RB21_Pistacia lentiscus_Morocco_Anacardiaceae,
ODN120,Pistacia lentiscus,Canary Islands,Anacardiaceae,ODN120_Pistacia lentiscus_Canary Islands_Anacardiaceae,
ODN120-2,#N/A,#N/A,#N/A,ODN120-2_Pistacia lentiscus_Canary Islands_Anacardiaceae,
RB970-2,#N/A,#N/A,#N/A,RB970-2_Searsia albida_Morocco_Anacardiaceae,
RB970,Searsia albida,Morocco,Anacardiaceae,RB970_Searsia albida_Morocco_Anacardiaceae,
RB971,Searsia albida,Morocco,Anacardiaceae,RB971_Searsia albida_Morocco_Anacardiaceae,
RB971-2,#N/A,#N/A,#N/A,RB971-2_Searsia albida_Morocco_Anacardiaceae,
RB267,Ruta montana,Morocco,Rutaceae,RB267_Ruta montana_Morocco_Rutaceae,
RB267-2,#N/A,#N/A,#N/A,RB267-2_Ruta montana_Morocco_Rutaceae,
RB519,Ruta microcarpa,Canary Islands,Rutaceae,RB519_Ruta microcarpa_Canary Islands_Rutaceae,
RB519-2,#N/A,#N/A,#N/A,RB519-2_Ruta microcarpa_Canary Islands_Rutaceae,
RB520,Ruta pinnata,Canary Islands,Rutaceae,RB520_Ruta pinnata_Canary Islands_Rutaceae,
RB520-2,#N/A,#N/A,#N/A,RB520-2_Ruta pinnata_Canary Islands_Rutaceae,
ODN22,Cneorum pulverulentum,Canary Islands,Rutaceae,ODN22_Cneorum pulverulentum_Canary Islands_Rutaceae,
ODN22-2,#N/A,#N/A,#N/A,ODN22-2_Cneorum pulverulentum_Canary Islands_Rutaceae,
RB270,Cneorum tricoccon,France,Rutaceae,RB270_Cneorum tricoccon_France_Rutaceae,
RB270-2,#N/A,#N/A,#N/A,RB270-2_Cneorum tricoccon_France_Rutaceae,
RB911,Cneorum tricoccon,Spain,Rutaceae,RB911_Cneorum tricoccon_Spain_Rutaceae,
RB911-2,#N/A,#N/A,#N/A,RB911-2_Cneorum tricoccon_Spain_Rutaceae,
RB934,Rosa canina,Portugal,Rosaceae,RB934_Rosa canina_Portugal_Rosaceae,*
RB623,Parietaria judaica,Canary Islands,Urticaceae,RB623_Parietaria judaica_Canary Islands_Urticaceae,*
22L26,Helianthemum_henriquezii,Canary Islands,Cistaceae,22L26_Helianthemum_henriquezii_Canary Islands_Cistaceae,
22J09,Helianthemum inaguae,Canary Islands,Cistaceae,22J09_Helianthemum inaguae_Canary Islands_Cistaceae,
22I77,Helianthemum cirae,Canary Islands,Cistaceae,22I77_Helianthemum cirae_Canary Islands_Cistaceae,
22I78,Helianthemum cirae,Canary Islands,Cistaceae,22I78_Helianthemum cirae_Canary Islands_Cistaceae,
22I91,Helianthemum gonzalezferreri,Canary Islands,Cistaceae,22I91_Helianthemum gonzalezferreri_Canary Islands_Cistaceae,
22I46,Helianthemum bramwelliorum,Canary Islands,Cistaceae,22I46_Helianthemum bramwelliorum_Canary Islands_Cistaceae,
22L25,Helianthemum_tibiabinae,Canary Islands,Cistaceae,22L25_Helianthemum_tibiabinae_Canary Islands_Cistaceae,
22I21,Helianthemum aganae,Canary Islands,Cistaceae,22I21_Helianthemum aganae_Canary Islands_Cistaceae,
22A91,Helianthemum linii,Canary Islands,Cistaceae,22A91_Helianthemum linii_Canary Islands_Cistaceae,
22L24,Helianthemum sp nov 1,Canary Islands,Cistaceae,22L24_Helianthemum sp nov 1_Canary Islands_Cistaceae,
22I47,Helianthemum bystropogophyllum,Canary Islands,Cistaceae,22I47_Helianthemum bystropogophyllum_Canary Islands_Cistaceae,
22L30,Helianthemum tholiforme,Canary Islands,Cistaceae,22L30_Helianthemum tholiforme_Canary Islands_Cistaceae,
22L29,Helianthemum teneriffae,Canary Islands,Cistaceae,22L29_Helianthemum teneriffae_Canary Islands_Cistaceae,
22J10,Helianthemum juliae,Canary Islands,Cistaceae,22J10_Helianthemum juliae_Canary Islands_Cistaceae,
22A87,Helianthemum broussonetii,Canary Islands,Cistaceae,22A87_Helianthemum broussonetii_Canary Islands_Cistaceae,
22L41,Helianthemum aguloi,Canary Islands,Cistaceae,22L41_Helianthemum aguloi_Canary Islands_Cistaceae,
22A90,Helianthemum helianthemoides,Morocco,Cistaceae,22A90_Helianthemum helianthemoides_Morocco_Cistaceae,
22I96,Helianthemum helianthemoides,Morocco,Cistaceae,22I96_Helianthemum helianthemoides_Morocco_Cistaceae,
22J65,Helianthemum obtusifolium,Cyprus,Cistaceae,22J65_Helianthemum obtusifolium_Cyprus_Cistaceae,
22J15,Helianthemum kostchianum,Turkey,Cistaceae,22J15_Helianthemum kostchianum_Turkey_Cistaceae,
22I94,Helianthemum grosii,Morocco,Cistaceae,22I94_Helianthemum grosii_Morocco_Cistaceae,
22A88,Helianthemum canariense,Canary Islands,Cistaceae,22A88_Helianthemum canariense_Canary Islands_Cistaceae,
22L31,Helianthemum thymiphyllum,Canary Islands,Cistaceae,22L31_Helianthemum thymiphyllum_Canary Islands_Cistaceae,
22L42,Helianthemum gorgoneum,Cape Verde,Cistaceae,22L42_Helianthemum gorgoneum_Cape Verde_Cistaceae,
22J11,Helianthemum kahiricum,Morocco,Cistaceae,22J11_Helianthemum kahiricum_Morocco_Cistaceae,
RB574,Sideritis barbellata,Canary Islands,Lamiaceae,RB574_Sideritis barbellata_Canary Islands_Lamiaceae,*
RB792,Sedum rubens,Portugal,Crassulaceae,RB792_Sedum rubens_Portugal_Crassulaceae,*
RB572,Sedum lancerottense,Canary Islands,Crassulaceae,RB572_Sedum lancerottense_Canary Islands_Crassulaceae,*
RB402,Monanthes brachycaulos,Canary Islands,Crassulaceae,RB402_Monanthes brachycaulos_Canary Islands_Crassulaceae,*
RB556,Daphne gnidium,Morocco,Thymelaeaceae,RB556_Daphne gnidium_Morocco_Thymelaeaceae,
RB677,Oligomeris linifolia,India,Resedaceae,RB677_Oligomeris linifolia_India_Resedaceae,
RB630,Oligomeris linifolia,Canary Islands,Resedaceae,RB630_Oligomeris linifolia_Canary Islands_Resedaceae,
RB941,Oligomeris linifolia,Egypt,Resedaceae,RB941_Oligomeris linifolia_Egypt_Resedaceae,
