Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB683,Chenopodiastrum murale,Portugal,Amaranthaceae,RB683_Chenopodiastrum murale_Portugal_Amaranthaceae,
RB309,Chenopodiastrum coronopus,Canary Islands,Amaranthaceae,RB309_Chenopodiastrum coronopus_Canary Islands_Amaranthaceae,
RB30,Atriplex halimus,Spain,Amaranthaceae,RB30_Atriplex halimus_Spain_Amaranthaceae,
RB665,Atriplex glauca,Spain,Amaranthaceae,RB665_Atriplex glauca_Spain_Amaranthaceae,
RB26,Atriplex glauca,Morocco,Amaranthaceae,RB26_Atriplex glauca_Morocco_Amaranthaceae,
RB273,Atriplex glauca,Canary Islands,Amaranthaceae,RB273_Atriplex glauca_Canary Islands_Amaranthaceae,
RB664,Atriplex halimus,Portugal,Amaranthaceae,RB664_Atriplex halimus_Portugal_Amaranthaceae,
RB596,Chenopodium vulvaria,Spain,Amaranthaceae,RB596_Chenopodium vulvaria_Spain_Amaranthaceae,
ODN26,Chenopodium vulvaria,Canary Islands,Amaranthaceae,ODN26_Chenopodium vulvaria_Canary Islands_Amaranthaceae,
RB662,Chenopodium vulvaria,Morocco,Amaranthaceae,RB662_Chenopodium vulvaria_Morocco_Amaranthaceae,
RB308,Chenopodium album,Canary Islands,Amaranthaceae,RB308_Chenopodium album_Canary Islands_Amaranthaceae,
RB663,Chenopodium album,Spain,Amaranthaceae,RB663_Chenopodium album_Spain_Amaranthaceae,
RB19,Chenopodium album,Netherlands,Amaranthaceae,RB19_Chenopodium album_Netherlands_Amaranthaceae,
RB951,Oxybasis glauca,Spain,Amaranthaceae,RB951_Oxybasis glauca_Spain_Amaranthaceae,*
RB950,Patellifolia procumbens,Spain,Amaranthaceae,RB950_Patellifolia procumbens_Spain_Amaranthaceae,
RB959,Patellifolia procumbens,Spain,Amaranthaceae,RB959_Patellifolia procumbens_Spain_Amaranthaceae,
RB446,Patellifolia procumbens,Canary Islands,Amaranthaceae,RB446_Patellifolia procumbens_Canary Islands_Amaranthaceae,
RB272,Atriplex halimus,Canary Islands,Amaranthaceae,RB272_Atriplex halimus_Canary Islands_Amaranthaceae,*
RB17,Salsola oppositifolia,Spain,Amaranthaceae,RB17_Salsola oppositifolia_Spain_Amaranthaceae,
RB690,Salsola oppositifolia,Morocco,Amaranthaceae,RB690_Salsola oppositifolia_Morocco_Amaranthaceae,
RB448,Salsola divaricata,Canary Islands,Amaranthaceae,RB448_Salsola divaricata_Canary Islands_Amaranthaceae,
K22,Salsola oppositifolia,Canary Islands,Amaranthaceae,K22_Salsola oppositifolia_Canary Islands_Amaranthaceae,
RB449,Traganum moquinii,Canary Islands,Amaranthaceae,RB449_Traganum moquinii_Canary Islands_Amaranthaceae,
RB16,Traganum nudatum,Tunisia,Amaranthaceae,RB16_Traganum nudatum_Tunisia_Amaranthaceae,
RB661,Salsola kali,Spain,Amaranthaceae,RB661_Salsola kali_Spain_Amaranthaceae,
RB1,Salsola kali,Netherlands,Amaranthaceae,RB1_Salsola kali_Netherlands_Amaranthaceae,
RB660-2,#N/A,#N/A,#N/A,RB660-2_Traganum nudatum_Libya_Amaranthaceae,
