species,growth_form,source,,
Silene bellidifolia,Annual Herbaceous,"F. Lens, unpublished data; 133",,
Silene berthelotiana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Silene bourgaei,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene canariensis,? Herbaceous,"F. Lens, unpublished data",,
Silene colorata,Annual Herbaceous,"F. Lens, unpublished data; 135",,
Silene conica,Annual Herbaceous,"F. Lens, unpublished data; 136",,
Silene conoidea,Annual Herbaceous,"F. Lens, unpublished data; 136",,
Silene diversifolia,Annual Herbaceous,"F. Lens, unpublished data; 137",,
Silene gallica,Annual Herbaceous,"F. Lens, unpublished data; 136",,
Silene gracilis,Annual Herbaceous,"F. Lens, unpublished data; 138",,
Silene inaperta,Annual Herbaceous,"F. Lens, unpublished data; 139",,
Silene lagunensis,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene muscipula,Annual Herbaceous,"F. Lens, unpublished data; 140",,
Silene nocteolens,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene nocturna,Annual Herbaceous,"F. Lens, unpublished data; 141",,
Silene nutans,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene obtusifolia,Annual Herbaceous,"F. Lens, unpublished data; 143",,
Silene pogonocalyx,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene rubella,Annual Herbaceous,"F. Lens, unpublished data; 136",,
Silene sabinosae,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene tamaranae,Perennial Herbaceous,"F. Lens, unpublished data; 134",,
Silene tridentata,Perennial Herbaceous,"F. Lens, unpublished data; 121",,
Silene vulgaris,Perennial Herbaceous,"F. Lens, unpublished data; 142",,
Spergula arvensis,Annual Herbaceous,"F. Lens, unpublished data; 121",,
Spergula pentandra,Annual Herbaceous,"F. Lens, unpublished data; 121",,
Cistus asper,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus chinamadensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus grancanariae,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus horrens,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus monspeliensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus ochreatus,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus osbeckiifolius,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus palmensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Cistus symphytifolius,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum aganae,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum aguloi,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum bramwelliorum,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum broussonetii,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum bystropogophyllum,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum canariense,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum cirae,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum gonzalezferreri,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum inaguae,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum juliae,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum ledifolium,Annual Herbaceous,"F. Lens, unpublished data; 144",,
Helianthemum linii,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum teneriffae,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum tholiforme,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum thymiphyllum,Ancestral Woodiness,"F. Lens, unpublished data",,
Helianthemum sp.,Ancestral Woodiness,NA,,
Helianthemum henriquezii,Ancestral Woodiness,Beaumont et al. 2021,,
Helianthemum sp.,Ancestral Woodiness,NA,,
Calystegia soldanella,Perennial Herbaceous,"F. Lens, unpublished data; 145",,
Convolvulus althaeoides,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus arvensis,Perennial Herbaceous,"F. Lens, unpublished data; 146",,
Convolvulus canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus caput-medusae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus floridus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus fruticulosus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus lopezsocasii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus perraudieri,Insular Woodiness,"POWO 2022, F. Lens, pers. comm. 2022",,
Convolvulus scoparius,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Convolvulus siculus,Annual Herbaceous,"F. Lens, unpublished data; 147",,
Convolvulus subauriculatus,Insular Woodiness,"POWO 2022, F. Lens, pers. comm. 2022",,
Convolvulus volubilis,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Ipomoea imperati,Perennial Herbaceous,"F. Lens, unpublished data; 148",,
Aeonium aizoon,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium appendiculatum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium arboreum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium aureum,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium balsamiferum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium canariense,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium castello-paivae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium ciliatum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium cuneatum,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium davidbramwellii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium decorum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium diplocyclum,Perennial Herbaceous,"F. Lens, unpublished data; 150",,
Aeonium dodrantale,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium escobarii,Insular Woodiness,"Messerschmind 2022; F. Lens, pers. comm. 2022",,
Aeonium gomerense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium goochiae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium haworthii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium hierrense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium lancerottense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium lindleyi,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium liui,Insular Woodiness,"Toro 2019; F. Lens, pers. comm. 2022",,
Aeonium mascaense,Insular Woodiness,"Messerschmind 2022; F. Lens, pers. comm. 2022",,
Aeonium nobile,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium percarneum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium pseudourbicum,Perennial Herbaceous,Hooft van Huysduynen et al. 2021,,
Aeonium rubrolineatum,Insular Woodiness,"F. Lens, unpublished data; F. Lens, pers. comm. 2022",,
Aeonium saundersii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium sedifolium,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium simsii,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium smithii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium spathulatum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium tabulaeforme,Perennial Herbaceous,"F. Lens, unpublished data; 149",,
Aeonium undulatum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium urbicum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium valverdense,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Aeonium volkeri,Insular Woodiness,"Messerschmind 2022; F. Lens, pers. comm. 2022",,
Aichryson bituminosum,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson bollei,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson brevipetalum,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson laxum,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson pachycaulon,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson palmense,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson parlatorei,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson porphyrogennetos,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson punctatum,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson roseum,Annual Herbaceous,"F. Lens, unpublished data; 152",,
Aichryson tortuosum,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 152",,
Crassula tillaea,Annual Herbaceous,"F. Lens, unpublished data; 153",,
Monanthes anagensis,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes brachycaulos,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes dasyphylla,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes icterica,Annual Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes laxiflora,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes minima,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes muralis,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes niphophila,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes pallens,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes polyphylla,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes praegeri,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes purpurascens,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes silensis,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes subcrassicaulis,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes subrosulata,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Monanthes wildpretii,Perennial Herbaceous,"F. Lens, unpublished data; 151",,
Sedum lancerottense,Perennial Herbaceous,"F. Lens, unpublished data; 154",,
Sedum rubens,Annual Herbaceous,"F. Lens, unpublished data; 155",,
Umbilicus heylandianus,Perennial Herbaceous,"F. Lens, unpublished data; 156",,
Umbilicus horizontalis,Perennial Herbaceous,"F. Lens, unpublished data; 157",,
Bryonia verrucosa,Perennial Herbaceous,"F. Lens, unpublished data; 158",,
Citrullus colocynthis,Perennial Herbaceous,"F. Lens, unpublished data; 159",,
Cuscuta approximata,Annual Herbaceous,"F. Lens, unpublished data; 160",,
Cuscuta planiflora,Annual Herbaceous,"F. Lens, unpublished data; 161",,
Cynomorium coccineum,Perennial Herbaceous,"F. Lens, unpublished data; 162",,
Arbutus canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Euphorbia aphylla,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia atropurpurea,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia balsamifera,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia berthelotii,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia bourgeana,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia bravoana,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Euphorbia chamaesyce,Annual Herbaceous,"F. Lens, unpublished data; 163",,
Euphorbia granulata,Perennial Herbaceous,"F. Lens, unpublished data; 164",,
Euphorbia handiensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Euphorbia helioscopia,Annual Herbaceous,"F. Lens, unpublished data; 165",,
Euphorbia lamarckii,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia mellifera,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Euphorbia paralias,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia peplis,Perennial Herbaceous,Cateni et al. 2010; 166,,
Euphorbia platyphyllos,Annual Herbaceous,POWO 2022; 167,,
Euphorbia regis-jubae,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia segetalis,Perennial Herbaceous,168,,
Euphorbia serrata,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia sulcata,Derived Woodiness,"F. Lens, unpublished data",,
Euphorbia terracina,Perennial Herbaceous,168,,
Mercurialis canariensis,Annual Herbaceous,"F. Lens, unpublished data; 169",,
Adenocarpus foliolosus,Ancestral Woodiness,"F. Lens, unpublished data",,
Adenocarpus ombriosus,Ancestral Woodiness,"F. Lens, unpublished data",,
Adenocarpus viscosus,Ancestral Woodiness,"F. Lens, unpublished data",,
Anagyris latifolia,Ancestral Woodiness,"F. Lens, unpublished data",,
Argyrolobium armindae,Perennial Herbaceous,"F. Lens, unpublished data; 170",,
Biserrula pelecinus,Annual Herbaceous,"F. Lens, unpublished data; 171",,
Bituminaria bituminosa,Perennial Herbaceous,"F. Lens, unpublished data; 44",,
Chamaecytisus mollis,Ancestral Woodiness,"F. Lens, unpublished data",,
Chamaecytisus prolifer,Ancestral Woodiness,"F. Lens, unpublished data",,
Cicer canariense,Perennial Herbaceous,"F. Lens, unpublished data; 172",,
Coronilla viminalis,Perennial Herbaceous,"F. Lens, unpublished data; 173",,
Cytisus filipes,Ancestral Woodiness,"F. Lens, unpublished data",,
Cytisus rosmarinifolius,Ancestral Woodiness,"F. Lens, unpublished data",,
Cytisus supranubius,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista benehoavensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista linifolia,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista microphylla,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista splendens,Ancestral Woodiness,"F. Lens, unpublished data",,
Genista stenopetala,Ancestral Woodiness,"F. Lens, unpublished data",,
Hippocrepis constricta,Annual Herbaceous,"F. Lens, unpublished data; 109",,
Hippocrepis multisiliquosa,Annual Herbaceous,"F. Lens, unpublished data; 174",,
Hippocrepis salzmannii,Annual Herbaceous,"F. Lens, unpublished data; 175",,
Lathyrus angulatus,Annual Herbaceous,"F. Lens, unpublished data; 176",,
Lathyrus sphaericus,Annual Herbaceous,"F. Lens, unpublished data; 177",,
Lotus arinagensis,Perennial Herbaceous,"F. Lens, unpublished data; 178",,
Lotus berthelotii,Perennial Herbaceous,"F. Lens, unpublished data; 179",,
Lotus broussonetii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus callis-viridis,Perennial Herbaceous,"F. Lens, pers. comm. 2022; 181",,
Lotus campylocladus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus corniculatus,Perennial Herbaceous,"F. Lens, unpublished data; 182",,
Lotus creticus,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus dumetorum,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus emeroides,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus eremiticus,Perennial Herbaceous,"F. Lens, unpublished data; 183",,
Lotus eriophthalmus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus glaucus,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus gomerythus,Perennial Herbaceous,Jaen-Mollina et al. 2021,,
Lotus holosericeus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus kunkelii,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus lancerottensis,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus maculatus,Perennial Herbaceous,"F. Lens, unpublished data; 179",,
Lotus mascaensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus parviflorus,Annual Herbaceous,"F. Lens, unpublished data; 184",,
Lotus pyranthus,Perennial Herbaceous,"F. Lens, unpublished data; 179",,
Lotus sessilifolius,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Lotus spartioides,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus spectabilis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lotus tenellus,Perennial Herbaceous,"F. Lens, unpublished data; 181",,
Melilotus segetalis,Annual Herbaceous,"F. Lens, unpublished data; 185",,
Ononis angustissima,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Ononis catalinae,Annual Herbaceous,"F. Lens, unpublished data; 186",,
Ononis christii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Ononis dentata,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis diffusa,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis hebecarpa,Annual Herbaceous,"F. Lens, unpublished data; 186",,
Ononis hesperia,Derived Woodiness,"F. Lens, unpublished data, Hooft van Huyduynen et al. 2021",,
Ononis laxiflora,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis mitissima,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis natrix,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis pendula,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis reclinata,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis serrata,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis sicula,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis tournefortii,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis variegata,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ononis viscosa,Annual Herbaceous,"F. Lens, unpublished data; 187",,
Ornithopus compressus,Annual Herbaceous,"F. Lens, unpublished data; 188",,
Retama monosperma,Ancestral Woodiness,"F. Lens, unpublished data",,
Retama rhodorhizoides,Ancestral Woodiness,"F. Lens, unpublished data",,
Rivasgodaya nervosa,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline canariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline microphylla,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline nervosa,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline osyrioides,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline pallida,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline rosmarinifolia,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline salsoloides,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline splendens,Ancestral Woodiness,"F. Lens, unpublished data",,
Teline stenopetala,Ancestral Woodiness,"F. Lens, unpublished data",,
Trifolium angustifolium,Annual Herbaceous,"F. Lens, unpublished data; 44",,
Trifolium arvense,Annual Herbaceous,"F. Lens, unpublished data; 189",,
Trifolium bocconei,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium campestre,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium cherleri,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium dubium,Annual Herbaceous,"F. Lens, unpublished data; 126",,
Trifolium fragiferum,Perennial Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium glomeratum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium lappaceum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium ligusticum,Annual Herbaceous,"F. Lens, unpublished data; 126",,
Trifolium micranthum,Annual Herbaceous,"F. Lens, unpublished data; 191",,
Trifolium resupinatum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium scabrum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium spumosum,Annual Herbaceous,"F. Lens, unpublished data; 192",,
Trifolium squamosum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium squarrosum,Annual Herbaceous,"F. Lens, unpublished data; 193",,
Trifolium stellatum,Annual Herbaceous,"F. Lens, unpublished data; 194",,
Trifolium striatum,Annual Herbaceous,"F. Lens, unpublished data; 189",,
Trifolium subterraneum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium suffocatum,Annual Herbaceous,"F. Lens, unpublished data; 190",,
Trifolium tomentosum,Annual Herbaceous,"F. Lens, unpublished data; 194",,
Trigonella anguina,Annual Herbaceous,"F. Lens, unpublished data; 195",,
Trigonella stellata,Annual Herbaceous,"F. Lens, unpublished data; 195",,
Ixanthus viscosus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Hypericum canariense,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum coadunatum,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum glandulosum,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum grandifolium,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum perfoliatum,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum perforatum,Ancestral Woodiness,"F. Lens, unpublished data",,
Hypericum reflexum,Ancestral Woodiness,"F. Lens, unpublished data",,
Ajuga iva,Perennial Herbaceous,"F. Lens, unpublished data; 196",,
Bystropogon canariensis,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bystropogon odoratissimus,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bystropogon origanifolius,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bystropogon plumosus,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Bystropogon wildpretii,Derived Woodiness,Hooft van Huysduynen et al. 2021,,
Cedronella canariensis,Perennial Herbaceous,"F. Lens, unpublished data; 197",,
Clinopodium menthifolium,Perennial Herbaceous,"F. Lens, unpublished data; 198",,
Clinopodium nepeta,Perennial Herbaceous,"F. Lens, unpublished data; 199",,
Lavandula bramwellii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lavandula buchii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lavandula canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lavandula minutolii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Lavandula pinnata,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Marrubium vulgare,Perennial Herbaceous,"F. Lens, unpublished data; 200",,
Micromeria benthamii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria densiflora,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria ericifolia,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria glomerata,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria gomerensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria helianthemifolia,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria herpyllomorpha,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria hierrensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria lachnophylla,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria lanata,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria lasiophylla,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria lepida,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria leucantha,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria mahanensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria pedro-luisii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria pineolens,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria rivas-martinezii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria teneriffae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria tenuis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Micromeria tragothymus,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Nepeta teydea,Perennial Herbaceous,"F. Lens, unpublished data; 201",,
Origanum vulgare,Perennial Herbaceous,"F. Lens, unpublished data; 202",,
Salvia aegyptiaca,Derived Woodiness,"F. Lens, pers. comm. 2022",,
Salvia broussonetii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Salvia canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Salvia herbanica,Derived Woodiness,"F. Lens, pers. comm. 2022",,
Sideritis amagroi,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis barbellata,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis bolleana,Insular Woodiness,"F. Lens, pers. comm. 2022",,
Sideritis brevicaulis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis canariensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis cretica,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis cystosiphon,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis dasygnaphala,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis dendrochahorra,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis discolor,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis eriocephala,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis ferrensis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis gomeraea,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis guayedrae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis infernalis,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis kuegleriana,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis lotsyi,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis macrostachyos,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis marmorea,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis mascaensis,Insular Woodiness,"F. Lens, pers. comm. 2022",,
Sideritis nervosa,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis nutans,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis oroteneriffae,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis pumila,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis santosii,Insular Woodiness,"F. Lens, pers. comm. 2022",,
Sideritis soluta,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Sideritis sventenii,Insular Woodiness,Hooft van Huysduynen et al. 2021,,
Stachys arvensis,Annual Herbaceous,"F. Lens, unpublished data; 203",,
Stachys germanica,Perennial Herbaceous,"F. Lens, unpublished data; 204",,
Stachys ocymastrum,Annual Herbaceous,"F. Lens, unpublished data; 205",,
Teucrium heterophyllum,Ancestral Woodiness,"F. Lens, unpublished data",,
Thymus origanoides,Derived Woodiness,"F. Lens, unpublished data",,
Apollonias barbujana,Ancestral Woodiness,"F. Lens, unpublished data",,
Laurus novocanariensis,Ancestral Woodiness,"F. Lens, unpublished data",,
Mespilodaphne foetens,Ancestral Woodiness,"F. Lens, unpublished data",,
Ocotea foetens,Ancestral Woodiness,"F. Lens, unpublished data",,
Persea barbujana,Ancestral Woodiness,"F. Lens, unpublished data",,
Persea indica,Ancestral Woodiness,"F. Lens, unpublished data",,
Linum strictum,Annual Herbaceous,"F. Lens, unpublished data; 206",,
Linum trigynum,Annual Herbaceous,"F. Lens, unpublished data; 207",,
Solenopsis laurentia,Annual Herbaceous,"F. Lens, unpublished data; 208",,
Glinus lotoides,Annual Herbaceous,"F. Lens, unpublished data; 209",,
Morella rivas-martinezii,Ancestral Woodiness,"F. Lens, unpublished data",,
Myrica faya,Ancestral Woodiness,"F. Lens, unpublished data",,
Chrysojasminum odoratissimum,Ancestral Woodiness,"F. Lens, unpublished data",,
Olea europaea,Ancestral Woodiness,"F. Lens, unpublished data",,
Phillyrea angustifolia,Ancestral Woodiness,"F. Lens, unpublished data",,
Picconia excelsa,Ancestral Woodiness,"F. Lens, unpublished data",,
Bellardia viscosa,Annual Herbaceous,"F. Lens, unpublished data; 212",,
