species,growth_form,source,,
Argyranthemum vincentii,Insular Woodiness,NA,,
Argyranthemum webbii,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Argyranthemum winteri,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Artemisia ramosa,Ancestral Woodiness,"F. Lens, unpublished data",,
Artemisia reptans,Ancestral Woodiness,"F. Lens, unpublished data",,
Artemisia thuscula,Ancestral Woodiness,"F. Lens, unpublished data",,
Atractylis arbuscula,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Atractylis cancellata,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Atractylis preauxiana,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bellis annua,Annual Herbaceous,"F. Lens, unpublished data; 32",,
Bethencourtia hermosae,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bethencourtia palmensis,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bethencourtia rupicola,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Calendula arvensis,Annual Herbaceous,"F. Lens, unpublished data; 33",,
Calendula suffruticosa,Perennial Herbaceous,"F. Lens, unpublished data; 33",,
Calendula tripterocarpa,Annual Herbaceous,"F. Lens, unpublished data; 33",,
Carduncellus caeruleus,Perennial Herbaceous,34,,
Carthamus caeruleus,Perennial Herbaceous,34,,
Carthamus lanatus,Annual Herbaceous,34,,
Cheirolophus anagaensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus arboreus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus arbutifolius,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus burchardii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus canariensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus dariasii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus duranii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus falcisectus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus ghomerythus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus junonianus,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus metlesicsii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus puntallanensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus santos-abreui,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus satarataensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus sventenii,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus tagananensis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus teydis,Derived Woodiness,"F. Lens, unpublished data",,
Cheirolophus webbianus,Derived Woodiness,"F. Lens, unpublished data",,
Chondrilla juncea,Perennial Herbaceous,"F. Lens, unpublished data; 35",,
Cichorium pumilum,Perennial Herbaceous,"F. Lens, unpublished data; 36",,
Cladanthus mixtus,Annual Herbaceous,"F. Lens, unpublished data; 37",,
Coleostephus myconis,Annual Herbaceous,"F. Lens, unpublished data; 38",,
Cynara cardunculus,Perennial Herbaceous,"F. Lens, unpublished data; 39",,
Cynara humilis,Perennial Herbaceous,"F. Lens, unpublished data; 40",,
Dittrichia viscosa,Perennial Herbaceous,"F. Lens, unpublished data; 41",,
Erigeron calderae,Perennial Herbaceous,"F. Lens, unpublished data; 42",,
