"phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","evapotranspiration","evaporation","transpiration","interception","aridity_index","growth_form"
"Tracheophyta","Apiales","Apiaceae","Ammi","Ammi majus",17,291.008392333984,329.931482318116,56.8149952464938,20.1860174494051,17.0899743029264,343.838675466904,24.2173775947256,16.0600918919345,321.835684229014,3.27202118829192,86.7395612862225,260.203430175781,75.6901016235074,164.230621337891,0.500000000000114,1.23686180467182,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Astydamia","Astydamia latifolia",899,14.5362920761108,15.3810778693199,27.0928480888156,21.7763560037244,14.3921037914317,250.289889326682,24.6317990362648,18.5957099634605,217.803846089792,1.34061050419934,87.6209310747793,340.959930419922,226.049728394299,10.7800168993374,0,0.638796018703861,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta cervariifolia",27,778.9697265625,419.846186279304,115.48286673374,18.0203998664968,17.6971536799345,318.782715397182,23.1139964378182,14.3862697520971,457.461263058926,6.71133990324097,89.6818180647016,441.784271240307,61.1271438598633,360.345428466797,2.69409132003229,1.03548562689796,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta montana",103,1236.98950195312,879.757320996109,86.5769275719694,15.5341936400188,18.064324730338,327.702568854495,21.4060426768371,11.1523416472985,571.181654259971,3.35898763455562,86.9108947751287,262.665832519759,66.6528472900448,183.611801147576,1.05586600303545,2.17455635086076,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Bupleurum","Bupleurum salicifolium",78,672.041687011719,154.323873815918,109.829611189014,18.4701878961831,17.2455151154744,295.983108010044,22.470213298318,14.5918964080665,417.505640447796,5.97884310115544,88.2694783877677,392.048446655233,57.0298290252911,300.057403564958,1.8335341811212,1.06493379583506,"Derived Woodiness"
"Tracheophyta","Apiales","Apiaceae","Conium","Conium maculatum",20,649.484802246094,118.240698156739,32.7306650296836,17.8983406439959,17.2400048452627,325.034917586402,22.8786247170261,13.6828645391147,522.576141949873,12.4767979477081,72.3805450523475,306.325454711966,63.7487373352311,256.700302124077,1.117840170859,1.70595075894442,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Crithmum","Crithmum maritimum",198,17.8882656097412,18.7851766086101,47.8127533602026,21.2937340653938,13.3946727760873,219.174193203997,24.3211703063633,18.4860957791539,329.748520749809,7.68553796942414,76.3288339259065,569.123382566991,531.253967284144,23.7543220519593,6.63938434436936e-13,0.579397246450324,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus carota",85,608.369995117188,247.146994848632,56.0259109303353,18.3772145237964,14.4201027836072,276.80799538777,22.2383215430667,14.9464490469697,585.731709755921,8.29433338773678,84.8613356652448,374.522369384682,48.3145790100098,313.960662841605,4.63928651808298,1.56394319174645,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus elegans",56,754.293090820312,190.877646478272,104.408673712311,18.1898718440863,12.1979044930753,251.035440405811,21.7039234436049,14.7615005057324,614.414858589216,13.9513431045312,73.9348909987868,717.740264892561,44.7355766296272,652.860412597745,17.1077861785882,0.856040671873395,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Drusa","Drusa glandulosa",165,596.433410644531,447.895052636719,77.1032129198687,19.3001963683059,16.5323084284172,300.370740832019,23.3984882673657,15.4396400320386,489.105184112851,5.61443531830238,86.6456165902291,445.17874145496,63.3490829467773,353.391479492472,3.06550288200607,1.09867147410123,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula communis",176,791.168426513672,433.707736157227,73.7814791479902,18.342895634187,17.9982719725917,332.064926722578,23.1327784454636,14.0621695791029,457.442708615956,4.0083801672466,85.9960748667152,378.261917114267,77.9976692199614,307.323196411331,0.820718109608078,1.20932794954817,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula lancerotensis",67,531.287841796875,88.5462127624513,78.459170150969,17.892495713269,13.210046922501,243.592023643971,19.8212052468861,14.4032585335617,199.342207812361,0,88.1699438497072,35.3448524474764,13.645243644708,17.8957462311401,0.020048674195932,5.6399219124932,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Foeniculum","Foeniculum vulgare",463,531.784606933594,312.368183203125,51.7329441475826,18.9791824976096,15.6645577351221,278.501457939704,22.8578288526796,15.2971066004131,484.082003312284,5.72758267464608,84.6143486497003,332.546051025207,62.4890594482422,248.483825683587,1.22429335117191,1.45568411298197,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Pimpinella","Pimpinella cumbrae",50,2141.90747070312,168.699591979982,77.2044800001804,11.9611967849221,19.1589155166385,312.366633725774,14.2484630338482,8.67401557589757,411.109051546565,1.67318525279248,106.460719463201,204.067825317395,167.285713195922,3.53386604786913,0,2.01457065025881,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Pimpinella","Pimpinella dendroselinum",24,1051.25225830078,583.429613781737,114.015070639093,16.2071316140339,17.9828279585532,339.507459322424,22.1949835706868,12.2147548546785,379.684627214308,3.71841254180397,89.5152831718229,368.928359985212,71.8117790222164,264.372894286976,4.61196160316759,1.02915543611103,"Perennial Herbaceous"
