"phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","evapotranspiration","evaporation","transpiration","interception","aridity_index","range_size","growth_form"
"Tracheophyta","Apiales","Apiaceae","Ammi","Ammi majus",17,513.544128417969,409.077993887329,56.8149952464938,19.5445972363099,17.0899743029264,343.838675466904,24.088311717342,14.9984304166978,321.835684229014,2.20939496579502,82.5500034789197,260.203430175781,72.5586242676128,164.230621337891,0.500000000000114,1.23686180467182,4737.96340823521,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ammodaucus","Ammodaucus leucotrichus",5,131.653991699219,133.524439821625,39.7303991742829,20.9535837698869,15.6481840035484,243.318028510068,23.7107868173275,17.5132455858457,146.911458225274,0.0820814945880744,95.9540794538782,120.018562316895,99.6566925048828,20.3300018310547,0,1.22407280498305,3803.12342027219,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Astydamia","Astydamia latifolia",1109,14.5362920761108,15.4258601726532,26.2657509935201,21.7584159143359,14.3796747690365,250.265642726539,24.6356270083725,18.5742396504481,221.918471325593,1.34274333048896,87.5485524148263,334.915496826222,210.365356445446,11.306480407722,0,0.662610340305452,11520.0174010351,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta cervariifolia",39,700.411193847656,367.34138770752,120.957735579904,18.8006784087718,17.6971536799345,319.977251630683,23.1139964378182,14.4865106444388,453.292477856074,6.59148626140251,89.5661820841351,385.231536865308,80.7409896851245,311.450988769531,0.819555282592773,1.17667541329713,5986.93333550399,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta montana",121,1238.59790039062,872.949160986328,86.8661020380766,15.5636762354719,18.303663801711,328.392811198248,21.2922381188478,11.1523416472985,574.181187195929,3.29621509495172,86.9108947751287,256.353668212792,66.7805709839098,183.611801147576,1.05586600303545,2.23980094062597,5986.93333550399,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Bupleurum","Bupleurum salicifolium",86,672.041687011719,158.297004730225,109.191524502942,18.4311843268561,17.0885704205667,291.929192206823,22.4231689404127,14.5918964080665,417.505640447796,5.97884310115544,88.2694783877677,408.985900878926,56.9256343841784,322.857528686436,2.4209314584771,1.02083137719555,10530.2464669706,"Derived Woodiness"
"Tracheophyta","Apiales","Apiaceae","Bupleurum","Bupleurum semicompositum",10,107.949359893799,143.041272771835,32.2032419748915,21.1780166617828,12.1620226929038,241.622749452269,23.9182790908311,17.8444021923083,200.717277890528,0.638931061067445,89.6099165218988,101.92527771072,67.4636821754133,22.3439302444353,0,1.96925907290825,10530.2464669706,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Conium","Conium maculatum",25,657.559448242188,157.032713598633,30.3279302264425,17.9011394885146,17.7776625627361,324.039419085976,23.0381232779036,13.8672481306247,522.129535979478,12.2260421985456,72.5632382651173,359.573333740112,63.238067627011,277.472259521353,1.17981433868254,1.45208080518244,973.643874975815,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Crithmum","Crithmum maritimum",221,17.8882656097412,19.1362717755318,47.7053789529384,21.4001995818343,13.1886011895864,219.188671558948,24.5380800438305,18.5615890723916,319.345581251188,7.68553796942414,76.3853255240359,578.326416015789,531.253967284144,23.8693981169802,5.21768553176818e-13,0.552189165854165,6958.90439416706,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus carota",87,623.075866699219,228.891758422852,56.9701107335616,18.2581296537599,14.4201027836072,276.80799538777,22.1008750917161,14.8656367541495,585.731709755921,8.57074058588933,84.7999163508479,376.312255859532,45.7250862121582,315.905242919851,4.48778820037839,1.55650447370643,6202.02021190764,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus elegans",66,779.345642089844,192.389882189941,98.4207463631623,17.9753483577875,12.4172667038643,254.764208968527,21.6298382270312,14.5033839313918,621.690379409697,13.7886572816684,75.1470465008981,728.010925293052,45.8928298950318,662.878936767648,17.006752967835,0.853957485815812,6202.02021190764,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Drusa","Drusa glandulosa",195,641.018249511719,423.570603442383,75.5050147448025,19.1152604403892,16.6105740145846,299.079726102832,23.3587496191412,15.2611558744335,483.575211991376,5.79232765423816,86.8168250316068,445.17874145496,59.6017379760742,361.311676025268,3.27934432029549,1.08624955992042,8692.74275263626,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula communis",209,768.80615234375,421.281912084961,77.8907774301807,18.5872955380391,17.7842811007618,325.323381493596,23.1656866212318,14.5978046325158,456.140324785093,4.95864603494359,85.3520158603467,381.820190429688,75.94596099855,311.450988769531,0.97808152437445,1.19464694696152,8948.89997442964,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula lancerotensis",77,502.701934814453,98.916811541748,78.459170150969,18.0302512842028,13.1976617509224,243.266686733839,19.8343363608153,14.6234493285619,198.874046091781,0,88.2310921068562,35.3448524474764,13.9269495010485,17.8957462311401,0.0192656591534264,5.62667637069116,8948.89997442964,"Perennial Herbaceous"
